Time_s,Layer_1_Temperature_C,Layer_2_Temperature_C,Layer_3_Temperature_C,Layer_4_Temperature_C,Layer_5_Temperature_C,Layer_6_Temperature_C,Layer_7_Temperature_C,Layer_8_Temperature_C
0,80,80,80,80,80,80,80,80
7.20360180090045,79.9994998849839,79.9998192875342,79.9998193912053,79.9998194870967,79.9998195305555,79.9998174904561,79.9997530509331,79.9982540792485
14.4072036018009,79.9992742578756,79.9996385704144,79.9996387750712,79.9996389293826,79.9996383496605,79.99962603295,79.9993842387068,79.9966790110521
21.6108054027014,79.9990490719655,79.9994578426537,79.999458137738,79.9994582061673,79.9994554828022,79.9994208407653,79.998935451564,79.9952283437156
28.8144072036018,79.9988243181843,79.999277087308,79.9992774061561,79.9992769515576,79.9992699463888,79.9991887385205,79.9984191488487,79.9939041441348
36.0180090045023,79.9985998787688,79.9990963047269,79.999096569184,79.9990951681528,79.9990827121833,79.9989345700539,79.9978640781575,79.9926641207268
43.2216108054027,79.9983754393533,79.9989155221458,79.9989157322119,79.998913384748,79.9988954779778,79.9986804015873,79.9973090074663,79.9914240973188
50.4252126063031,79.998151460482,79.9987346006797,79.9987345161833,79.9987308810624,79.9986936110992,79.9983898443216,79.9967299211916,79.9902919848436
57.6288144072036,79.9979275292039,79.9985536648611,79.9985532609827,79.9985483029424,79.9984902320645,79.9980955265983,79.9961483531206,79.9891710240001
64.832416208104,79.5705148065238,79.9942394440452,79.998329825435,79.9983543602397,79.9982930906798,79.9979641457309,79.9963657684065,79.9906480226269
72.0360180090045,78.9490747766851,79.9746799658517,79.9977580652201,79.9981378873505,79.9980849442301,79.9978556315077,79.9967461872814,79.9926686802344
79.239619809905,78.3439102720317,79.9408124876973,79.9964937002043,79.9978889995832,79.997861546021,79.9976982679145,79.9969335616392,79.9940596295464
86.4432216108054,77.7539823654754,79.8934041961914,79.9942557870564,79.9975892980147,79.9976233055781,79.9975032669626,79.9969779623819,79.9949763962731
93.6468234117059,77.1779440524248,79.8337226307907,79.9908551929419,79.9972380128636,79.9973701726012,79.9972795867423,79.99692131836,79.9955543744277
